Lag,variable,value,ID,age,exp,sex,trial_num
-3,1.0,0.5242766869932766,H27-10,1356,demo,F,1
-2,1.0,-0.10774964682112852,H27-10,1356,demo,F,1
-1,1.0,-0.2811966603928028,H27-10,1356,demo,F,1
0,1.0,0.33964283484038066,H27-10,1356,demo,F,1
1,1.0,-0.5278256585086324,H27-10,1356,demo,F,1
2,1.0,-0.24713312268751633,H27-10,1356,demo,F,1
3,1.0,0.00274801428826087,H27-10,1356,demo,F,1
-3,2.82,0.6311967922997711,H27-10,1356,demo,F,1
-2,2.82,0.013155322617157504,H27-10,1356,demo,F,1
-1,2.82,-0.14144698409578663,H27-10,1356,demo,F,1
0,2.82,0.2639470392764508,H27-10,1356,demo,F,1
1,2.82,-0.34704763024452756,H27-10,1356,demo,F,1
2,2.82,-0.11081781038057406,H27-10,1356,demo,F,1
3,2.82,0.19906169002596472,H27-10,1356,demo,F,1
-3,4.64,0.6430407019959354,H27-10,1356,demo,F,1
-2,4.64,0.012713852005498637,H27-10,1356,demo,F,1
-1,4.64,-0.11177393153120982,H27-10,1356,demo,F,1
0,4.64,0.27002630050153686,H27-10,1356,demo,F,1
1,4.64,-0.31081591558597366,H27-10,1356,demo,F,1
2,4.64,-0.09935574130712202,H27-10,1356,demo,F,1
3,4.64,0.12196166201539257,H27-10,1356,demo,F,1
-3,6.46,0.7191617866918559,H27-10,1356,demo,F,1
-2,6.46,-0.030785902005758637,H27-10,1356,demo,F,1
-1,6.46,-0.10600119425235537,H27-10,1356,demo,F,1
0,6.46,0.3185177750492258,H27-10,1356,demo,F,1
1,6.46,-0.3195957002251476,H27-10,1356,demo,F,1
2,6.46,0.009857992296735863,H27-10,1356,demo,F,1
3,6.46,0.022383530593186957,H27-10,1356,demo,F,1
-3,8.28,0.7650905829161251,H27-10,1356,demo,F,1
-2,8.28,-0.025453615675073683,H27-10,1356,demo,F,1
-1,8.28,-0.08530945731821295,H27-10,1356,demo,F,1
0,8.28,0.35019887127510396,H27-10,1356,demo,F,1
1,8.28,-0.28159229084027076,H27-10,1356,demo,F,1
2,8.28,0.014548168965595198,H27-10,1356,demo,F,1
3,8.28,0.14389125635137776,H27-10,1356,demo,F,1
-3,10.1,0.7961744932797058,H27-10,1356,demo,F,1
-2,10.1,-0.08556062548554723,H27-10,1356,demo,F,1
-1,10.1,-0.13808366927621424,H27-10,1356,demo,F,1
0,10.1,0.3483772757464217,H27-10,1356,demo,F,1
1,10.1,-0.2612936714943765,H27-10,1356,demo,F,1
2,10.1,0.04147689557087328,H27-10,1356,demo,F,1
3,10.1,0.15474940114256974,H27-10,1356,demo,F,1
-3,11.92,0.9579922802635302,H27-10,1356,demo,F,1
-2,11.92,-0.0005429998875008337,H27-10,1356,demo,F,1
-1,11.92,-0.10178267034428537,H27-10,1356,demo,F,1
0,11.92,0.11392979127602998,H27-10,1356,demo,F,1
1,11.92,-0.03814990729896805,H27-10,1356,demo,F,1
2,11.92,-0.2799309610544782,H27-10,1356,demo,F,1
3,11.92,0.2029354413316555,H27-10,1356,demo,F,1
-3,13.74,0.9436801920527723,H27-10,1356,demo,F,1
-2,13.74,-0.0202054465832931,H27-10,1356,demo,F,1
-1,13.74,-0.16864374424912576,H27-10,1356,demo,F,1
0,13.74,0.029749860351746725,H27-10,1356,demo,F,1
1,13.74,0.09160252176962089,H27-10,1356,demo,F,1
2,13.74,-0.2561402013602928,H27-10,1356,demo,F,1
3,13.74,0.24486662248821048,H27-10,1356,demo,F,1
-3,15.56,0.9409051249596502,H27-10,1356,demo,F,1
-2,15.56,-0.23870882163199422,H27-10,1356,demo,F,1
-1,15.56,-0.14527654030368609,H27-10,1356,demo,F,1
0,15.56,0.029198167380185856,H27-10,1356,demo,F,1
1,15.56,0.024649765023831503,H27-10,1356,demo,F,1
2,15.56,-0.14342302631064838,H27-10,1356,demo,F,1
3,15.56,0.2310539507737721,H27-10,1356,demo,F,1
-3,17.38,0.07181721732801995,H27-10,1356,demo,F,1
-2,17.38,0.043359741147514015,H27-10,1356,demo,F,1
-1,17.38,0.1285702131068153,H27-10,1356,demo,F,1
0,17.38,-0.298533555837665,H27-10,1356,demo,F,1
1,17.38,0.024745994950652172,H27-10,1356,demo,F,1
2,17.38,-0.14512787920065903,H27-10,1356,demo,F,1
3,17.38,0.2061705526737247,H27-10,1356,demo,F,1
-3,19.2,0.009120009054269207,H27-10,1356,demo,F,1
-2,19.2,-0.003101415116455933,H27-10,1356,demo,F,1
-1,19.2,0.16466045299560464,H27-10,1356,demo,F,1
0,19.2,-0.26772290728103004,H27-10,1356,demo,F,1
